
C:\Program Files\ZAP\Zed Attack Proxy>if exist "C:\Users\USER\ZAP\.ZAP_JVM.properties" (set /p jvmopts= 0<"C:\Users\USER\ZAP\.ZAP_JVM.properties" )  else (set jvmopts=-Xmx512m ) 
22693 [ZAP-BootstrapGUI] INFO  org.zaproxy.addon.pscan.internal.ScanRuleManager - Loaded passive scan rule: Insecure JSF ViewState
22699 [ZAP-BootstrapGUI] INFO  org.zaproxy.addon.pscan.internal.ScanRuleManager - Loaded passive scan rule: Java Serialization Object
22700 [ZAP-BootstrapGUI] INFO  org.zaproxy.addon.pscan.internal.ScanRuleManager - Loaded passive scan rule: Reverse Tabnabbing
22700 [ZAP-BootstrapGUI] INFO  org.zaproxy.addon.pscan.internal.ScanRuleManager - Loaded passive scan rule: Secure Pages Include Mixed Content
22709 [ZAP-BootstrapGUI] INFO  org.zaproxy.addon.pscan.internal.ScanRuleManager - Loaded passive scan rule: Modern Web Application
22716 [ZAP-BootstrapGUI] INFO  org.zaproxy.addon.pscan.internal.ScanRuleManager - Loaded passive scan rule: PII Disclosure
22719 [ZAP-BootstrapGUI] INFO  org.zaproxy.addon.pscan.internal.ScanRuleManager - Loaded passive scan rule: Script Served From Malicious Domain (polyfill)
22726 [ZAP-BootstrapGUI] INFO  org.zaproxy.addon.pscan.internal.ScanRuleManager - Loaded passive scan rule: Retrieved from Cache
22733 [ZAP-BootstrapGUI] INFO  org.zaproxy.addon.pscan.internal.ScanRuleManager - Loaded passive scan rule: HTTP Server Response Header
22737 [ZAP-BootstrapGUI] INFO  org.zaproxy.addon.pscan.internal.ScanRuleManager - Loaded passive scan rule: Strict-Transport-Security Header
22742 [ZAP-BootstrapGUI] INFO  org.zaproxy.addon.pscan.internal.ScanRuleManager - Loaded passive scan rule: Sub Resource Integrity Attribute Missing
22747 [ZAP-BootstrapGUI] INFO  org.zaproxy.addon.pscan.internal.ScanRuleManager - Loaded passive scan rule: Timestamp Disclosure
22751 [ZAP-BootstrapGUI] INFO  org.zaproxy.addon.pscan.internal.ScanRuleManager - Loaded passive scan rule: User Controllable Charset
22752 [ZAP-BootstrapGUI] INFO  org.zaproxy.addon.pscan.internal.ScanRuleManager - Loaded passive scan rule: Cookie Poisoning
22760 [ZAP-BootstrapGUI] INFO  org.zaproxy.addon.pscan.internal.ScanRuleManager - Loaded passive scan rule: User Controllable HTML Element Attribute (Potential XSS)
22760 [ZAP-BootstrapGUI] INFO  org.zaproxy.addon.pscan.internal.ScanRuleManager - Loaded passive scan rule: User Controllable JavaScript Event (XSS)
22768 [ZAP-BootstrapGUI] INFO  org.zaproxy.addon.pscan.internal.ScanRuleManager - Loaded passive scan rule: Off-site Redirect
22768 [ZAP-BootstrapGUI] INFO  org.zaproxy.addon.pscan.internal.ScanRuleManager - Loaded passive scan rule: Username Hash Found
22768 [ZAP-BootstrapGUI] INFO  org.zaproxy.addon.pscan.internal.ScanRuleManager - Loaded passive scan rule: Viewstate
22779 [ZAP-BootstrapGUI] INFO  org.zaproxy.addon.pscan.internal.ScanRuleManager - Loaded passive scan rule: X-AspNet-Version Response Header
22785 [ZAP-BootstrapGUI] INFO  org.zaproxy.addon.pscan.internal.ScanRuleManager - Loaded passive scan rule: X-Backend-Server Header Information Leak
22790 [ZAP-BootstrapGUI] INFO  org.zaproxy.addon.pscan.internal.ScanRuleManager - Loaded passive scan rule: X-ChromeLogger-Data (XCOLD) Header Information Leak
22794 [ZAP-BootstrapGUI] INFO  org.zaproxy.addon.pscan.internal.ScanRuleManager - Loaded passive scan rule: X-Content-Type-Options Header Missing
22797 [ZAP-BootstrapGUI] INFO  org.zaproxy.addon.pscan.internal.ScanRuleManager - Loaded passive scan rule: X-Debug-Token Information Leak
22807 [ZAP-BootstrapGUI] INFO  org.zaproxy.addon.pscan.internal.ScanRuleManager - Loaded passive scan rule: Server Leaks Information via "X-Powered-By" HTTP Response Header Field(s)
22809 [ZAP-BootstrapGUI] INFO  org.zaproxy.addon.pscan.internal.ScanRuleManager - Loaded passive scan rule: ZAP is Out of Date
22818 [ZAP-BootstrapGUI] INFO  org.zaproxy.addon.pscan.internal.ScanRuleManager - Loaded passive scan rule: Vulnerable JS Library (Powered by Retire.js)
22818 [ZAP-BootstrapGUI] INFO  org.zaproxy.addon.pscan.internal.ScanRuleManager - Loaded passive scan rule: Script Passive Scan Rules
22832 [ZAP-BootstrapGUI] INFO  org.zaproxy.addon.pscan.internal.ScanRuleManager - Loaded passive scan rule: WSDL File Detection
22832 [ZAP-BootstrapGUI] INFO  org.zaproxy.addon.pscan.internal.ScanRuleManager - Loaded passive scan rule: Stats Passive Scan Rule
22921 [ZAP-BootstrapGUI] INFO  org.zaproxy.addon.network.ExtensionNetwork - Creating new root CA certificate.
23904 [ZAP-BootstrapGUI] INFO  org.zaproxy.addon.network.ExtensionNetwork - New root CA certificate created.
275722 [AWT-EventQueue-0] INFO  org.parosproxy.paros.control.Control - New Session
275742 [AWT-EventQueue-0] INFO  org.parosproxy.paros.control.Control - Create and Open Untitled Db
280270 [ZAP-BootstrapGUI] INFO  org.parosproxy.paros.CommandLine - Job replacer set deleteAllRules = true
280270 [ZAP-BootstrapGUI] INFO  org.parosproxy.paros.CommandLine - Job replacer set description = Authorization bearer token
280270 [ZAP-BootstrapGUI] INFO  org.parosproxy.paros.CommandLine - Job replacer set matchType = REQ_HEADER
280270 [ZAP-BootstrapGUI] INFO  org.parosproxy.paros.CommandLine - Job replacer set matchString = Authorization
280270 [ZAP-BootstrapGUI] INFO  org.parosproxy.paros.CommandLine - Job replacer set matchRegex = false
280270 [ZAP-BootstrapGUI] INFO  org.parosproxy.paros.CommandLine - Job replacer set replacementString = Bearer eyJ0eXAiOiJKV1QiLCJhbGciOiJSUzI1NiIsImtpZCI6IkRJN0xVTHFndkNqdEF5WUszWEFwRDBzVUVLbyJ9.eyJhdWQiOiIyMzQ0NWJlNi1kZmMwLTQ3OWMtYmZmYy1kOGVlZTEzODRlODUiLCJpc3MiOiJodHRwczovLzFiMzhhMjg3LTBhNzUtNGM4Yi04MTM5LTc3NGI3YWMzZjE4Ny5jaWFtbG9naW4uY29tLzFiMzhhMjg3LTBhNzUtNGM4Yi04MTM5LTc3NGI3YWMzZjE4Ny92Mi4wIiwiaWF0IjoxNzg1MTMxMDMwLCJuYmYiOjE3ODUxMzEwMzAsImV4cCI6MTc4NTEzNTU1NywiYWlvIjoiQVhRQWkvOGNBQUFBWVJTN0hHcUhWckI0SzR6VHZjcWM0OXRKZnhKTUsrRkJwdSs3L1ptTGJjVURSZE0zeUZieUhGY2lWbjNha0FZRnJyRlVicjVRREd6eEtubmNHalgxak1USHVTWjJlSWVjK2JWb095bnc3anB1R3hNV1JkaVlGTnh2ZjdDeE94alZkSDNEQW1FbFBJNG1rYjBBRXh5OUF3PT0iLCJhenAiOiI5NWZlYjc5YS04MTFmLTQzZTgtODZlZS1iNjNhMWIwMzg4MzMiLCJhenBhY3IiOiIwIiwiaWRwIjoiaHR0cHM6Ly9zdHMud2luZG93cy5uZXQvNjU4NWMzMTQtOWY4Ny00NGVkLWJiYmItZjI4NTMyMzVlYTFjLyIsIm5hbWUiOiJEYW5pa2EgTXVuYXNpbmdoZSIsIm9pZCI6IjU4ODlhMzZkLTUxZWUtNGJkMC04ZWEyLTc2OTljNmE0MzIxMiIsInByZWZlcnJlZF91c2VybmFtZSI6ImRhbmlrYUB3aWxkbW91c2UuY29tIiwicmgiOiIxLkFVRUFoNkk0RzNVS2kweUJPWGRMZXNQeGgtWmJSQ1BBMzV4SHZfelk3dUU0VG9VQUFNZEJBQS4iLCJzY3AiOiJ1c2VyX2ltcGVyc29uYXRpb24iLCJzaWQiOiIwMDZlZjY1YS05ZDJhLTMxMjItYWZiOS05NTkzMjAxMDcyZmQiLCJzdWIiOiJadGwybWtVeU1vaWMzdUpwRVZkaC1raXpZU2tYYzJNdFVWWG5lTHdzY21FIiwidGlkIjoiMWIzOGEyODctMGE3NS00YzhiLTgxMzktNzc0YjdhYzNmMTg3IiwidXRpIjoiZ01pY1BKSW1kRVMyNUR6NE5QNEpBQSIsInZlciI6IjIuMCIsInhtc19mdGQiOiIwZmduU1RhN2F6QWp6NUd5czZOUVBZOFpGbjJ2VHJCa2lPNU84SmIxa29NQllYVnpkSEpoYkdsaFl5MWtjMjF6In0.DilJTNgYqVWack3fuIa6wCAgDvRte8l61Io7snszX_COZOCyBnjnCCg0747MU-SVRPuJC1F9TpmjtMIaBBSS_u8iCB4FdmE73GEEt6cq9fREXKLD3vANqlo132N0A7gEa3pAeCXUENZ1Xt3-py5R1KolrlyCQcHN51dmRBg5jq5lnq4Fog_8Gg_vOd6FM1Ib2HIh0cFcrg0oAewiCsiHYq57V00bnyI_vp7fMVMq0-qz5h75j-I21YnkFRcMnUj3E3WIt6iXNN8OWcU6oAUmIaRFxrhtqvPVbU338KLoMzt4AmCh6orksu-nSZiijXmg6AO75Ud5kmMwgaUWGhZ3Mg
280270 [ZAP-BootstrapGUI] INFO  org.parosproxy.paros.CommandLine - Job replacer set tokenProcessing = false
280270 [ZAP-BootstrapGUI] INFO  org.parosproxy.paros.CommandLine - Job openapi set apiUrl = https://unearthtest-nonprod-discoveryapi.blackocean-b19cf4b1.australiaeast.azurecontainerapps.io/swagger/all/swagger.json
280270 [ZAP-BootstrapGUI] INFO  org.parosproxy.paros.CommandLine - Job openapi set targetUrl = https://test.xpreshon.unearth.ai/api/discovery-test-api
280270 [ZAP-BootstrapGUI] INFO  org.parosproxy.paros.CommandLine - Job openapi set context = xpreshon
280276 [ZAP-BootstrapGUI] INFO  org.parosproxy.paros.CommandLine - Job passiveScan-wait set maxDuration = 5
280277 [ZAP-BootstrapGUI] INFO  org.parosproxy.paros.CommandLine - Job report set template = traditional-html
280277 [ZAP-BootstrapGUI] INFO  org.parosproxy.paros.CommandLine - Job report set reportDir = C:/Users/USER/Downloads/xpreshon-hybrid-framework/xpf/reports
280277 [ZAP-BootstrapGUI] INFO  org.parosproxy.paros.CommandLine - Job report set reportFile = xpreshon-baseline
280277 [ZAP-BootstrapGUI] INFO  org.parosproxy.paros.CommandLine - Job report set reportTitle = Xpreshon DAST-002 � Baseline Passive Scan
280327 [ZAP-BootstrapGUI] INFO  org.parosproxy.paros.CommandLine - Job report set template = sarif-json
280327 [ZAP-BootstrapGUI] INFO  org.parosproxy.paros.CommandLine - Job report set reportDir = C:/Users/USER/Downloads/xpreshon-hybrid-framework/xpf/reports
280327 [ZAP-BootstrapGUI] INFO  org.parosproxy.paros.CommandLine - Job report set reportFile = xpreshon-baseline
280442 [ZAP-BootstrapGUI] INFO  org.parosproxy.paros.CommandLine - Job replacer set deleteAllRules = true
280442 [ZAP-BootstrapGUI] INFO  org.parosproxy.paros.CommandLine - Job replacer started
280445 [ZAP-BootstrapGUI] INFO  org.parosproxy.paros.CommandLine - Existing Replace rules deleted
280448 [ZAP-BootstrapGUI] INFO  org.parosproxy.paros.CommandLine - Job replacer finished, time taken: 00:00:00
280448 [ZAP-BootstrapGUI] INFO  org.parosproxy.paros.CommandLine - Job openapi started
302508 [ZAP-BootstrapGUI] INFO  org.parosproxy.paros.CommandLine - Job openapi added 20 URLs
302508 [ZAP-BootstrapGUI] INFO  org.parosproxy.paros.CommandLine - Job openapi finished, time taken: 00:00:22
302508 [ZAP-BootstrapGUI] INFO  org.parosproxy.paros.CommandLine - Job passiveScan-wait started
303016 [ZAP-BootstrapGUI] INFO  org.parosproxy.paros.CommandLine - Job passiveScan-wait finished, time taken: 00:00:00
303016 [ZAP-BootstrapGUI] INFO  org.parosproxy.paros.CommandLine - Job report started
303508 [ZAP-BootstrapGUI] INFO  org.parosproxy.paros.CommandLine - Job report generated report C:\Users\USER\Downloads\xpreshon-hybrid-framework\xpf\reports\xpreshon-baseline.html
303508 [ZAP-BootstrapGUI] INFO  org.parosproxy.paros.CommandLine - Job report finished, time taken: 00:00:00
303508 [ZAP-BootstrapGUI] INFO  org.parosproxy.paros.CommandLine - Job report started
303723 [ZAP-BootstrapGUI] INFO  org.parosproxy.paros.CommandLine - Job report generated report C:\Users\USER\Downloads\xpreshon-hybrid-framework\xpf\reports\xpreshon-baseline.json
303723 [ZAP-BootstrapGUI] INFO  org.parosproxy.paros.CommandLine - Job report finished, time taken: 00:00:00
303725 [ZAP-BootstrapGUI] INFO  org.parosproxy.paros.CommandLine - Automation plan succeeded!
